UID,Age,Birthday,Gender,Province,City,Marital_State,Individual_Description,Blog,Comment
8,0.0,3864,0,1,1,1,再 多 的 心灵鸡汤 ， 都 不如 一碗 毒 鸡汤 来 的 痛快 。,【 我 真的 不想 上学 ！ 萌娃 不想 上 幼儿园 街头 花式 耍赖 ， 妈妈 ： 连续 劝 了 4 天 了   】 10 月 18 日 ， 贵州 贵阳 一小 男孩 因 不想 上 幼儿园 ， 在 街头 各种 花式 耍赖 ： 坐地 不起 、 抱 大腿 、 跪求 妈妈 不要 带 他 去 幼儿园 。 妈妈 称 孩子 在 国庆 后病 了 1 周 ， 病好 后 劝 他 上学 就 很 费劲 ， 从家 到 幼儿园 很近 的 路 却 要 走 1 个 多 小时 。,  学校 太 可怕 了 ！
13,29.0,32725,1,2,2,0,大 眼睛 ， 爱 唱歌 ！,# 北奥 夫妇 [ 超话 ] #   你 刚哥 到底 把 葡萄 当成 多 亲密 的 朋友 ， 竟然 在 大众 面前 把 她 定义 成 那个 可以 问 他 双修 之事 的 朋友     回答 这 问题 时 小伙子 还 挺 了 挺 胸膛 ， 咋 看起来 这么 害羞 呢   第一次 啥时候 不得而知 了 ， 就 好奇 上 一次 啥时候 是不是 凤凰花开 5 瓣 那种,"分 了 的 ， 问 结婚 ， 他 说 和 谁 结 ， 如果 有 npy , 那 回家 不 把 他 撕 了 ， 还有 lg 也 不是 一个 会 撒谎 的 人"
26,30.0,32498,0,3,3,6,一   名   退   伍   兵,好像 没有 吧 我 觉得 ， 讲话 不 都 一样 吗 大家,吃 了 吗   你 ？
32,44.0,27267,1,4,0,0,被动型 资深 老宅 女 ； 主动型 菜鸟 投资人 。 微博 个人观点 仅 代表 本人 主张 。 本博 乃 个人 日志 ， 仅此而已 ！,要 早 知道 ， 我空仓,什么 书 ？
61,34.0,30713,0,5,4,6,# SNH48 ## SHY48 ## CKG48 ## BEJ48 ## GNZ48 #,各位 ， 穿 多点 。   秋衣 秋裤 穿 起来 了 啊 ！,"注意 保暖 哦 ， 别 感冒 了 ！         # 万丽娜 #   # 万丽娜 [ 超话 ] #     # SNH48 万丽娜 #   # SNH48 万丽娜 [ 超话 ] #     # SNH48 [ 超话 ] #   小 偶像 真棒 ! 愿 你 天天开心 , 努力 加油 奋斗 ! 同时 也 要 照顾 好 自己 哦 ! 转发 评论 时间 : 二零一 八年 十一月 二十日"
61,34.0,30713,0,5,4,6,# SNH48 ## SHY48 ## CKG48 ## BEJ48 ## GNZ48 #,今天 开心 ， 拍个 视频,"要 开开心心 快快乐乐 每 一天 ！       # 徐慧玲 #   # 徐慧玲 [ 超话 ] #   # CKG48 徐慧玲 #   # CKG48 徐慧玲 [ 超话 ] #   # CKG48 [ 超话 ] #     小 偶像 真棒 ! 愿 你 天天开心 , 努力 加油 奋斗 ! 同时 也 要 照顾 好 自己 哦 ! 转发 评论 时间 : 二零一 八年 十一月 七日"
61,34.0,30713,0,5,4,6,# SNH48 ## SHY48 ## CKG48 ## BEJ48 ## GNZ48 #,我 今天 正式 入驻 天猫 种草 猫 啦 ， 会 在 这里 和 大家 分享 日常生活 上 的 小心 得 。 戳 开 下面 的 链接 ， 就 有 惊喜 哦 ！,"        # 冯薪朵 #   # 冯薪朵 [ 超话 ] #     # SNH48 冯薪朵 #   # SNH48 冯薪朵 [ 超话 ] #     # SNH48 [ 超话 ] #     小 偶像 真棒 ! 愿 你 天天开心 , 努力 加油 奋斗 ! 同时 也 要 照顾 好 自己 哦 ! 转发 评论 时间 : 二零一 八年 十一月 一日"
61,34.0,30713,0,5,4,6,# SNH48 ## SHY48 ## CKG48 ## BEJ48 ## GNZ48 #,一元 硬币 开锁 技能 ！   在外 务工 的 弱女子 必学 ！   妈妈 再也 不用 担心 我 的 锁 坏 了 ！,"这 技能 对于 简单 的 锁 有效 . 复杂 的 就 无效 了 .       # 陈思 #   # 陈思 [ 超话 ] #   # SNH48 陈思 #   # SNH48 陈思 [ 超话 ] #   # SNH48 [ 超话 ] #   小 偶像 真棒 ! 愿 你 天天开心 , 努力 加油 奋斗 ! 同时 也 要 照顾 好 自己 哦 !   转发 评论 时间 : 二零一 八年 十一月 十日"
105,11.0,39223,0,6,0,0,现打 的 阔落 加冰 更好 喝,# 王源 [ 超话 ] ## 王源 1108 十八岁 成人礼 #     我 想 和 你 去 吃 街边 的 小吃,互评 可以 吗
109,17.0,37124,1,3,0,0,鱼小 好困 了 ( ; ´ ༎ ຶ Д ༎ ຶ ` ),一人 血书 小祎 可不可以 出妆面 教程 ， 或者 小红书 了解 一下     来自 混 油皮 的 呐喊 ！,三人 血书
109,17.0,37124,1,3,0,0,鱼小 好困 了 ( ; ´ ༎ ຶ Д ༎ ຶ ` ),天鹅   12 点 啦,火速 关灯 睡觉
109,17.0,37124,1,3,0,0,鱼小 好困 了 ( ; ´ ༎ ຶ Д ༎ ຶ ` ),  23 度 的 天气   穿着 卫衣 跑 800   我 居然 一滴 汗 也 没有 跑 完 还 觉得 冷,  最后 一圈 真的 一点点 也 跑不动 了   我 真的 老 了   3 ‘   14 - 19 - 24 - 30 - 35 - 45 - 55     再 下去 就 快 不及格 了
109,17.0,37124,1,3,0,0,鱼小 好困 了 ( ; ´ ༎ ຶ Д ༎ ຶ ` ),阿司匹林 和 对乙酰氨基酚 搞 了       我 不 允许 你们 结婚 ！ ！ ！ ！ ！ ！ ！ ！ ！,图片 评论
109,17.0,37124,1,3,0,0,鱼小 好困 了 ( ; ´ ༎ ຶ Д ༎ ຶ ` ),阿司匹林 和 对乙酰氨基酚 搞 了       我 不 允许 你们 结婚 ！ ！ ！ ！ ！ ！ ！ ！ ！,这俩 长得 太 像 了 吧
119,39.0,29192,1,3,5,6,一个 快乐 滴 追星 号,# 朱一龙 温柔 的 力量 [ 超话 ] #         # 朱一龙   并肩 前行 #   『 朱一龙 』 冬天 的 糖霜 ， 秋天 的 麦芽糖 ， 夏天 的 莲子 羹 ， 春天 的 绿豆 酥 ， 都 甜 不过 你 的 笑 。     图源 水印,# 朱一龙 [ 超话 ] #   zyl 朱一龙 正 能量   zyl 朱一龙 演技 精湛   zyl 朱一龙 谦逊有礼 貌   zyl 朱一龙 帅气 迷人   zyl 朱一龙 粉丝 都 是 小可爱   zyl 朱一龙 的 眼睛 里 富有 星辰 大海   朱一龙 人格魅力 无法 挡     zyl 朱一龙 纯情 又 生动
